link,price,code,Fabric Type,Neckline,Collection,Trouser,Sleeves,Embellishment,Color,Size,Shirt,Dupatta
https://www.junaidjamshed.com/multicolor-lawn-unstitched-2pc-jlawn-s-jds-24-1135.html,pkr 3 070.00,JLAWN-S-JDS-24-1135,lawn  lawn,,festive  collection  lawn  shirt  dupatta  unstitched  piece,,striped  plaid  long  short  white,,multicolor  blue  white  pink  red  gray  white,2 piece,striped  plaid  plain  solid  stripe dress  blue  cotton,floral  paisley  plaid  flower  stripe
https://www.junaidjamshed.com/white-unstitched-3pc-jjls-w-jwu-23-1807.html,pkr 5 840.00,JJLS-W-JWU-23-1807,jacquard  jacquard,striped  white  plain  solid  unknown,winter  collection  jacquard  shirt  dupatta  unstitched  piece,meter  striped  plain  solid  dress  stripe  short  jean  long,striped  solid  stripe  plain  plaid,,white  gray  striped  brown  tan  blue  beige  striped,3 piece,striped  solid  stripe  plain  plaid cotton  dress  polo  unknown,stripe  striped  solid  floral  plain
https://www.junaidjamshed.com/green-lawn-unstitched-2pc-jjls-s-jw2-23-7010.html,pkr 2 630.00,JJLS-S-JW2-23-7010,blackgreen  lawn  chiffon,,midsummer  collection  lawn  shirt  chiffon  dupatta  unstitched  piece,,plaid  short  long  white  striped,,multicolor  white  plaid  black  blue  red  purple,2 piece,plaid  solid  striped  checkered  plain cotton  dress  blue  button,plaid  polka  dot  checkered  striped
https://www.junaidjamshed.com/beige-organza-kurti-jjlk-s-jpwk-23-927.html,pkr 11 590.00,JJLK-S-JPWK-23-927,organza  viscose  blended,striped  white  solid  plain  dress,special  edition  lady  kurti  semi  formal  kurti,,long  short  white  black  striped,,beige  pink  brown  white  peach  blue,,floral  solid  plain  flower  flower short  long  medium  yes  tall  dress  cotton  blue  unknown  white,
https://www.junaidjamshed.com/lilac-lawn-kurti-jjlk-s-jss-24-318.html,pkr 6 970.00,JJLK-S-JSS-24-318,lawn,extended  collar  pink  striped  long  solid  white,embroidered  lawn  shirt  spring  summer  collection  lady  kurti,,loose  cut  long  pink  short  striped  white,bead  neckline,lilac  pink  purple  gray  white  red,,solid  plain  floral  striped  paisley  classic  kurta  long  short  medium  tall  dress  cotton  blue  button  long,
https://www.junaidjamshed.com/pink-jacquard-unstitched-3pc-jlawn-s-24-152-grand-6.html,pkr 11 280.00,JLAWN-S-24-152 GRAND-6,doria,solid  pink  plain  striped  paisley,festive  collection  unstitched  piece,meter  striped  solid  floral  plain  checkered  dress  short  long  full,meter  floral  solid  plain  striped  plaid,,pink  red  blue  floral  salmon  purple  white  brown  yes,3 piece,floral  paisley  plain  solid  striped dress  cotton  tie  dye  unknown  blue,floral  paisley  flower  pink
https://www.junaidjamshed.com/pink-lawn-3pc-stitched-jlawn-s-24-061.html,pkr 8 200.00,JLAWN-S-24-061,tar  lawn  zari,extended  collar  striped  plain  pink  long  dress,spring  summer  collection  piece  stitched  semi  formal,dyed  straight  pant  striped  solid  plain  floral  stripe  short  long  dress  plain,printed  sleeve  long  short  pink  striped  plain,hand  embellishment  neckline  dupatta,pink  green  gray  red  purple  white  blue  black  white,,printed  front  plaid  striped  floral  paisley  solid  back  regular  kameez  long  short  medium  tall  dress  cotton  tie  dye  blue  long,stripe  striped  floral  solid  paisley
https://www.junaidjamshed.com/grey-unstitched-3pc-jjls-w-jwu-23-1817.html,pkr 6 150.00,JJLS-W-JWU-23-1817,cambric  jacquard,striped  white  plain  solid  dress,winter  collection  cambric  shirt  jacquard  dupatta  unstitched  piece,meter  striped  solid  floral  plain  jean  dress  full  skirt  wood,solid  plain  floral  striped  plaid,,grey  blue  black  gray  white  brown  purple,3 piece,solid  floral  paisley  plain  striped cotton  dress  blue  unknown  white,floral  paisley  solid  plaid  flower
https://www.junaidjamshed.com/pink-jacquard-unstitched-3pc-jlawn-s-24-472.html,pkr 6 660.00,JLAWN-S-24-472,jacquard  jacquard,solid  pink  plain  striped  white,festive  collection  jacquard  shirt  dupatta  unstitched  piece,meter  solid  floral  plain  striped  checkered  dress  short  long  plain,plain  solid  floral  polka  dot  flower,,pink  red  white  blue  green  black  yes,3 piece,floral  polka  dot  plain  solid dress  blue  pink  cotton  tie  dye,polka  dot  flower  floral  pink
https://www.junaidjamshed.com/blue-handwoven-unstitched-3pc-jjls-w-jwu-23-1809.html,pkr 7 180.00,JJLS-W-JWU-23-1809,handwoven  jacquard  jacquard,striped  white  long  plain  dress,winter  collection  jacquard  shirt  dupatta  unstitched  piece,meter  striped  solid  polka  dot  stripe  dress  long  full  short,striped  solid  plain  stripe  plaid,,blue  white  orange  black  gray  brown  red  white,3 piece,striped  stripe  polka  dot  solid dress  blue  cotton  button,polka  dot  stripe  paisley
https://www.junaidjamshed.com/black-lawn-3pc-stitched-jlawn-s-24-057.html,pkr 8 200.00,JLAWN-S-24-057,tar  lawn  zari,round  neckline  slit  opening  striped  white  long  solid  unknown,spring  summer  collection  piece  stitched  semi  formal,dyed  straight  trouser  plaid  solid  striped  plain  checkered  short  long  unknown  dress  short,printed  sleeve  long  plaid  short  striped  black,hand  embellishment  neckline,black  red  purple  white  plaid  blue  brown  pink  blue,,printed  front  plaid  striped  stripe  solid  plain  back  regular  kameez  long  short  medium  yes  cotton  dress  unknown  long,plaid  striped  stripe  solid  checkered
https://www.junaidjamshed.com/black-red-jacquard-3pc-stitched-jlawn-s-24-101.html,pkr 8 200.00,JLAWN-S-24-101,jacquard,boat  neck  placket  striped  white  solid  plain  long,spring  summer  collection  piece  stitched,dyed  straight  trouser  striped  solid  stripe  plain  plaid  long  short  full  dress  skirt,printed  sleeve  long  short  striped  black  red,button  detail  neckline,red  white  black  maroon  gray  striped  brown  purple  black,,printed  front  striped  solid  stripe  plain  plaid  back  regular  shirt  long  short  medium  yes  dress  cotton  blue  unknown  length,stripe  striped  solid  polka  dot  checkered
https://www.junaidjamshed.com/multicolor-lawn-unstitched-3pc-jlawn-s-24-463.html,pkr 7 480.00,JLAWN-S-24-463,lawn,striped  white  solid  plain  tie  dye,festive  collection  lawn  shirt  trouser  unstitched  piece,meter  floral  solid  plain  striped  dress  short  wood  neither,floral  solid  striped  plain  flower,,multicolor  blue  green  floral  tie  dye  white  black  gray  brown  pink  orange  white,3 piece,floral  striped  solid  stripe  flower dress  blue  cotton  unknown  tie  dye,floral  flower  paisley  yes
https://www.junaidjamshed.com/beige-lawn-3pc-stitched-jlawn-s-24-014.html,pkr 9 840.00,JLAWN-S-24-014,lawn,boat  neck  slit  white  dress  striped  unknown  solid,embroidered  gold  printed  lawn  shirt  digital  silk  dupatta  trouser  spring  summer  collection  piece  stitched,dyed  izaar  trouser  floral  patterned  striped  paisley  dress  short  long  straight  yes  cotton  full,printed  sleeve  embroidery  short  striped  white  plaid  black,embellishment  neckline,beige  white  brown  blue  floral  gray  black  red  gold  black,,printed  front  embroidery  floral  paisley  solid  striped  dress  back  classic  kameez  short  long  medium  yes  cotton  blue  unknown  white  length,floral  flower  paisley  indian
https://www.junaidjamshed.com/multicolor-lawn-unstitched-2pc-jlawn-s-jst-24-1630.html,pkr 3 070.00,JLAWN-S-JST-24-1630,lawn,,spring  summer  collection  lawn  shirt  trouser  unstitched  piece,meter  checkered  solid  striped  plain  plaid,short  long  plaid  blue  striped,,multicolor  blue  white  plaid  gray  black  tan,2 piece,floral  plaid  striped  plain  solid blue  dress  cotton  unknown  white,
https://www.junaidjamshed.com/orange-chiffon-unstitched-3pc-jjls-s-jfu-24-705.html,pkr 11 280.00,JJLS-S-JFU-24-705,chiffon,striped  white  solid  plain  neck,festive  collection  unstitched  piece,meter  solid  plain  striped  checkered  polka  dot  dress  long  cold  plain,solid  plain  striped  stripe,,orange  white  red  blue  gray  brown  black  tan,3 piece,solid  plain  striped  floral  paisley dress  blue  cotton  tank  top,solid  paisley  floral  plain  flower
https://www.junaidjamshed.com/maroon-lawn-unstitched-3pc-jlawn-s-23-622.html,pkr 3 380.00,JLAWN-S-23-622,lawn  lawn,white  striped  solid  plain  unknown,limited  edition  lawn  shirt  dupatta  unstitched  piece,meter  solid  plain  striped  plaid  floral  long  short  wood  dress,solid  plain  striped  plaid  stripe,,maroon  brown  red  purple  black  white  gray  blue  black,3 piece,solid  plain  striped  paisley  plaid cotton  dress  blue  unknown,paisley  floral  solid  striped  stripe
https://www.junaidjamshed.com/white-lawn-kurti-jjlk-s-jss-23-332.html,pkr 4 740.00,JJLK-S-JSS-23-332,lawn,boat  neck  plain  white  pink  solid  striped,heavy  embroidered  dyed  lawn  shirt  spring  summer  collection  lady  kurti,,lose  cut  short  long  white  plain  black,dori  tasseling  neck  pearl  finishing  sleeve,white  pink  blue  gray  tan,,straight  solid  plain  striped  floral  dress  long  short  medium  yes  cotton  blue  white  tank  top  mid  length,
https://www.junaidjamshed.com/multicolor-lawn-unstitched-2pc-jlawn-s-jds-24-1119.html,pkr 3 070.00,JLAWN-S-JDS-24-1119,lawn  lawn,,festive  collection  lawn  shirt  dupatta  unstitched  piece,,short  long  striped  white  red,,multicolor  pink  white  floral  red  purple  white,2 piece,floral  plaid  striped  solid  plain cotton  dress  blue  button  unknown,floral  plaid  polka  dot  paisley  flower
https://www.junaidjamshed.com/blue-jacquard-unstitched-3pc-jlawn-s-24-339-riwayat-01.html,pkr 6 460.00,JLAWN-S-24-339 RIWAYAT-01,jacquard  jacquard,striped  plain  solid  dress  regular,festive  collection  jacquard  shirt  dupatta  unstitched  piece,meter  solid  floral  plain  patterned  flower  dress  long  short  full  cold,solid  plain  floral  plaid  striped,,blue  green  teal  white  gray  brown  pink  mint  teal,3 piece,floral  solid  plain  flower  striped dress  blue  cotton  white  unknown,floral  solid  flower  plain  flower
https://www.junaidjamshed.com/beige-silk-kurti-jjlk-s-jpwk-23-879.html,pkr 11 070.00,JJLK-S-JPWK-23-879,silk  organza,white  dress  striped  solid  plain,special  edition  lady  kurti  semi  formal,,short  long  white  black  solid,,beige  blue  white  peach  yellow  pink,,solid  plain  floral  plaid  flower short  long  medium  yes  dress  blue  cotton  white  polo,
https://www.junaidjamshed.com/pink-paper-cotton-stitched-3pc-jjpw-s-jps-24-3933.html,pkr 15 390.00,JJPW-S-JPS-24-3933,paper  cotton,round  neck  slit  solid  white  pink  striped  plain,festive  collection  piece  stitched  formal,dhaka  pajama  solid  plain  floral  paisley  lace  short  long  neither  straight  dress  striped  neither,shuffle  embroidered  sleeve  long  short  white  solid,,pink  green  blue  white  red  black  gray  purple  mint  yes,,shuffle  embroidered  front  floral  solid  plain  paisley  striped  straight  cut  panel  long  short  medium  tall  dress  blue  cotton  tie  dye  medium,floral  paisley  solid  pink  flower
https://www.junaidjamshed.com/blue-unstitched-2pc-jjls-w-jw2-23-7046.html,pkr 3 070.00,JJLS-W-JW2-23-7046,cambric  cambric,,winter  collection  cambric  shirt  dupatta  unstitched  piece,,long  short  black  white  blue,,blue  white  black  gray  green  purple  gray,2 piece,solid  plain  striped  stripe  checkered button  dress  cotton  blue  white,solid  polka  dot  paisley  plain
https://www.junaidjamshed.com/black-unstitched-3pc-jjls-w-jwu-23-1862.html,pkr 9 230.00,JJLS-W-JWU-23-1862,net  kota,white  striped  solid  plain  dress,winter  collection  unstitched  piece,meter  solid  plain  paisley  striped  floral  dress  long  wood  slack,solid  plain  floral  striped  plaid,,black  blue  white  brown  orange  gray  white,3 piece,solid  paisley  plain  floral  striped  meter blue  dress  cotton  unknown  sure,paisley  solid  floral  plain  yes
https://www.junaidjamshed.com/multicolor-lawn-unstitched-2pc-jlawn-s-jds-24-1015.html,pkr 3 070.00,JLAWN-S-JDS-24-1015,lawn  lawn,,spring  summer  collection  lawn  shirt  dupatta  unstitched  piece,,long  plaid  short  striped  cold,,multicolor  blue  floral  green  plaid  white  red  orange  white,2 piece,floral  plaid  paisley  checkered  flower blue  cotton  unknown  dress,checkered  plaid  polka  dot  floral
https://www.junaidjamshed.com/olive-green-lawn-unstitched-3pc-jlawn-s-23-277.html,pkr 13 170.00,JLAWN-S-23-277,lawn,striped  stripe  vertical  know  sure,festive  collection  unstitched  piece,meter  striped  stripe  plain  solid  floral  dress  short  skirt  long,striped  stripe  solid  plain,,olive  green  brown  striped  blue  white  gray  black  gold  tan  white,3 piece,striped  stripe  solid  vertical dress  cotton  polo,stripe  striped  floral  plain
https://www.junaidjamshed.com/red-organza-unstitched-3pc-jjls-s-jfu-24-703.html,pkr 10 250.00,JJLS-S-JFU-24-703,organza  chiffon,solid  striped  white  plain  red,festive  collection  organza  shirt  chiffon  dupatta  unstitched  piece,meter  solid  striped  plain  floral  dress  long  neither  short,solid  plain  striped  floral  red,,red  white  gray  blue  black  orange  gold  white,3 piece,solid  floral  plain  paisley  striped dress  red  unknown  blue  striped,solid  floral  paisley  flower  plain
https://www.junaidjamshed.com/maroon-textured-stitched-3pc-jlawn-s-24-150.html,pkr 14 870.00,JLAWN-S-24-150,textured,round  neck  slit  stitch  detail  white  striped  solid  red  plain,festive  collection  piece  stitched,straight  pant  solid  plain  striped  floral  dress  short  long  red  long,embroidered  straight  sleeve  short  long  red  striped  white,tassel  front  slit,maroon  red  white  black  blue  gray  white,,embroidered  straight  front  solid  striped  stripe  plain  floral  short  long  medium  dress  cotton  red  unknown  length,solid  plain  striped  stripe  red
https://www.junaidjamshed.com/blue-lawn-unstitched-3pc-jlawn-s-23-606.html,pkr 3 380.00,JLAWN-S-23-606,lawn  lawn,striped  white  solid  dress  plain,limited  edition  lawn  shirt  dupatta  unstitched  piece,meter  solid  striped  plain  floral  stripe  dress  short  long  skirt  striped,solid  plain  plaid  floral  striped,,blue  orange  red  pink  white  black  gray  tan  yellow  red,3 piece,solid  floral  plain  paisley  plaid dress  blue  cotton  unknown  button,floral  paisley  flower  polka  dot  dot
https://www.junaidjamshed.com/black-polyester-stitched-3pc-jjpw-s-jps-24-3918.html,pkr 14 360.00,JJPW-S-JPS-24-3918,jacquard,round  striped  white  solid  plain  unknown,festive  collection  piece  stitched  semi  formal,straight  checkered  solid  paisley  plaid  checkerboard  short  long  black  cold  dress  wood  striped,straight  short  black  plaid  long  striped,sequin  dupatta,black  white  blue  plaid  brown  gray  tan  beige  brown,,embroidered  checkered  plaid  floral  paisley  striped  plain  aline  short  long  medium  yes  dress  cotton  blue  unknown,checkered  paisley  plaid  checkerboard  floral
https://www.junaidjamshed.com/multicolor-lawn-3pc-stitched-jlawn-s-24-103.html,pkr 7 180.00,JLAWN-S-24-103,lawn,v  neck  striped  plain  white  pink  long,spring  summer  collection  piece  stitched  casual,printed  straight  trouser  striped  solid  floral  plain  paisley  short  long  cold  dress  slack,printed  sleeve  long  short  striped  white  black,hand  embellishment  neckline,multicolor  blue  white  pink  gray  floral  black  brown  green  red  purple,,printed  front  floral  striped  solid  plaid  checkered  back  classic  kurta  panel  long  short  medium  tall  cotton  dress  blue  button  long,polka  dot  floral  flower  paisley
https://www.junaidjamshed.com/white-gold-silver-lawn-kurti-jjlk-s-jss-23-368.html,pkr 6 320.00,JJLK-S-JSS-23-368,lawn,round  neck  slit  striped  white  plain  plaid  dress,gold  silver  printed  embroidered  lawn  shirt  festive  collection  lady  kurti,,printed  embroidered  bell  sleeve  short  long  plaid  striped  white,button  front  slit,white  blue  plaid  pink,,printed  embroidered  floral  striped  plaid  solid  checkered long  short  medium  tall  dress  cotton  blue  white  long,
https://www.junaidjamshed.com/black-polyester-stitched-3pc-jjpw-s-jps-24-3918.html,pkr 14 360.00,JJPW-S-JPS-24-3918,formal  embellishment  semi  style  cut  back  neckline  embroidered  shirt  sequin  front  aline  sleeve  round  plain  trouser  straight  type  dupatta  fabric  jacquard,striped  white  solid  plain  unknown,festive  collection  piece  stitched,checkered  solid  paisley  plaid  checkerboard  short  long  black  cold  dress  wood  striped,short  black  plaid  long  striped,,black  white  blue  plaid  brown  gray  tan  beige  brown,,checkered  plaid  floral  paisley  striped short  long  medium  yes  dress  cotton  blue  striped  unknown,checkered  paisley  plaid  checkerboard  floral
https://www.junaidjamshed.com/orange-chiffon-unstitched-3pc-jjls-s-jfu-24-705.html,pkr 11 280.00,JJLS-S-JFU-24-705,chiffon,striped  white  solid  plain  neck,festive  collection  unstitched  piece,meter  solid  plain  striped  checkered  polka  dot  dress  long  cold  plain,solid  plain  striped  stripe,,orange  white  red  blue  gray  brown  black  tan,3 piece,solid  plain  striped  floral  paisley dress  blue  cotton  tank  top,solid  paisley  floral  plain  flower
https://www.junaidjamshed.com/orange-chiffon-unstitched-3pc-jjls-s-jfu-24-705.html,pkr 11 280.00,JJLS-S-JFU-24-705,chiffon,striped  white  solid  plain  neck,festive  collection  unstitched  piece,meter  chiffon  fabric  embroidered  shirt  lining  plain  crap  raw  silk  trouser  solid  striped  checkered  polka  dot  dress  long  cold  plain,solid  plain  striped  stripe,,orange  white  red  blue  gray  brown  black  tan,3 piece,solid  plain  striped  floral  paisley dress  blue  cotton  tank  top,solid  paisley  floral  plain  flower
https://www.junaidjamshed.com/black-lawn-2pc-stitched-jlawn-s-jds-24-1108.html,pkr 5 840.00,JLAWN-S-JDS-24-1108,lawn,slit  striped  solid  plain  white  unknown,festive  collection  piece  stitched,checkered  striped  solid  plaid  floral  short  long  black  dress  wood  striped,printed  sleeve  short  striped  long  black  white,tassel  detail  neckline,black  white  purple  yellow  blue  gray  green,,printed  front  floral  striped  checkered  solid  plaid  back  regular  shirt  short  long  medium  yes  cotton  dress  blue  unknown  tank  top  length,
https://www.junaidjamshed.com/white-unstitched-3pc-jjls-w-jwu-23-1821.html,pkr 6 460.00,JJLS-W-JWU-23-1821,jacquard  jacquard,striped  white  unknown  plain  gray,winter  collection  jacquard  shirt  dupatta  unstitched  piece,meter  checkered  striped  patterned  paisley  plaid  dress  short  long  jean  cotton,plaid  striped  solid  plain  checkered,,white  gray  blue  black  brown  tan  beige  gray,3 piece,checkered  plaid  striped  floral  solid blue  hot  unknown  cotton  know,floral  polka  dot  checkered  paisley  dot
https://www.junaidjamshed.com/green-unstitched-3pc-jjls-w-jwu-23-1820.html,pkr 6 150.00,JJLS-W-JWU-23-1820,cambric  jacquard,solid  plain  striped  white  red,winter  collection  cambric  shirt  jacquard  dupatta  unstitched  piece,meter  solid  striped  plain  stripe  plaid  dress  short  long  solid,solid  plain  striped  stripe  plaid,,green  red  blue  pink  orange  teal  black  white  orange,3 piece,solid  plain  striped  stripe  paisley dress  cotton  blue  red,solid  paisley  floral  stripe  plain
https://www.junaidjamshed.com/green-lawn-unstitched-3pc-jlawn-s-23-605.html,pkr 3 380.00,JLAWN-S-23-605,lawn  lawn,plain  white  striped  solid  dress,limited  edition  lawn  shirt  dupatta  unstitched  piece,meter  solid  floral  plain  striped  dress  long  short  slack,floral  solid  plain  plaid  striped,,green  white  brown  gray  black  blue,3 piece,floral  solid  plain  flower  flower dress  cotton  unknown  blue,floral  flower  paisley  solid
https://www.junaidjamshed.com/black-lawn-stitched-3pc-jlawn-s-24-137.html,pkr 11 280.00,JLAWN-S-24-137,lawn,round  neck  striped  white  solid  dress  plain,festive  collection  piece  stitched,straight  pant  solid  floral  striped  paisley  plain  short  long  skirt  dress  slack,long  black  short  striped  blue,,black  blue  gray  white  navy  patterned  brown  red  brown,,embroidered  solid  floral  plain  paisley  striped long  short  medium  yes  dress  blue  cotton  unknown  white  full  length,floral  flower  paisley  blue  solid
https://www.junaidjamshed.com/red-lawn-unstitched-3pc-jlawn-s-24-165.html,pkr 3 380.00,JLAWN-S-24-165,lawn  chiffon,striped  white  plain  unknown  solid,spring  summer  collection  lawn  shirt  chiffon  dupatta  unstitched  piece,meter  floral  striped  solid  plain  paisley  short  dress  neither  cotton,floral  plaid  striped  solid  plain,,red  white  pink  black  blue  gray  white,3 piece,floral  plaid  checkered  striped  solid cotton  dress  blue  unknown,floral  flower  paisley  plaid
https://www.junaidjamshed.com/blue-lawn-unstitched-2pc-jlawn-s-jds-24-1122.html,pkr 3 070.00,JLAWN-S-JDS-24-1122,lawn  lawn,,festive  collection  lawn  shirt  dupatta  unstitched  piece,,long  plaid  striped  short  blue,,blue  gray  green  white  plaid  brown  tan  orange  pink,2 piece,solid  plain  plaid  striped  stripe blue  dress  unknown  cotton  know,solid  plain  stripe  floral  striped
https://www.junaidjamshed.com/green-lawn-2pc-stitched-jlawn-s-jst-24-1607.html,pkr 8 000.00,JLAWN-S-JST-24-1607,lawn,angrakha  style  striped  dress  white  button  long,spring  summer  collection  piece  stitched  semi  formal,dyed  azaar  embroidered  border  hem  striped  plain  solid  stripe  dress  short  long  straight  slack,printed  sleeve  embroidered  border  long  striped  short  white  dress,dori  tassel  front,green  yellow  tan  striped  beige  white  brown,,printed  front  embroidery  striped  stripe  plain  solid  plaid  back  regular  kameez  long  short  medium  tall  dress  cotton  button  blue  long,
https://www.junaidjamshed.com/yellow-silk-kurti-jjlk-s-jpwk-23-922.html,pkr 7 050.00,JJLK-S-JPWK-23-922,silk  tussar,striped  solid  long  blue  white,special  edition  lady  kurti  semi  formal  kurti,,long  short  striped  black  white,,yellow  blue  orange  white  gray,,solid  striped  plain  stripe  checkered long  short  medium  tall  blue  dress  cotton  tank  top,
https://www.junaidjamshed.com/off-white-lawn-unstitched-3pc-jlawn-s-23-221.html,pkr 23 170.00,JLAWN-S-23-221,silk  raw,white  plain  striped  dress  solid,festive  collection  unstitched  piece,meter  plain  solid  plaid  dress  floral  short  jean  long  straight,meter  solid  plain  striped  plaid  white,,white  blue  shirt  black  gray  tan  pink  peach  beige  cream,3 piece,meter  plain  floral  solid  flower  flower   white  blue  hot  cotton  unknown,floral  flower  plain  yes
https://www.junaidjamshed.com/multicolor-kurti-jjlk-w-jws-23-3025.html,pkr 5 740.00,JJLK-W-JWS-23-3025,jacquard,striped  white  plaid  solid  plain,dyed  shirt  winter  collection  lady  kurti  casual,,straight  long  short  striped  plaid  white,buttoning,multicolor  white  striped  blue  red  plaid,,straight  striped  solid  stripe  plaid  plain  short  long  medium  tall  cotton  blue  dress  button,
https://www.junaidjamshed.com/yellow-lawn-kurti-jjlk-s-jss-23-319.html,pkr 4 210.00,JJLK-S-JSS-23-319,lawn,sherwani  collar  striped  white  solid  plain  unknown,embroidered  mill  print  lawn  shirt  spring  summer  collection  lady  kurti,,bell  sleeve  striped  long  short  white  red,buttoning  neckline  tasseling  sleeve,yellow  red  white  blue  striped,,straight  striped  solid  stripe  plain  floral  short  long  medium  tall  yes  dress  tie  dye  unknown  know  mid  length,
https://www.junaidjamshed.com/green-unstitched-3pc-jjls-w-jfu-23-710.html,pkr 13 640.00,JJLS-W-JFU-23-710,organza  chiffon,solid  plain  white  unknown  dress,winter  collection  organza  shirt  chiffon  dupatta  unstitched  piece,solid  plain  floral  dress  checkered  short  neither  straight  long,solid  plain  floral  striped  plaid,,green  blue  tan  white  gray  black  brown  gold  beige  tan,3 piece,floral  solid  plain  flower  paisley dress  blue  unknown  polo  white,floral  paisley  flower  gold  flower
https://www.junaidjamshed.com/yellow-unstitched-3pc-jlawn-s-23-318-emb-0.html,pkr 8 100.00,JLAWN-S-23-318,jacquard  jacquard,striped  solid  plain  white  unknown,winter  collection  jacquard  shirt  dupatta  unstitched  piece,solid  plain  striped  stripe  polka  dot  dress  short  long  slack,embroidery  solid  striped  stripe  plain,,yellow  orange  blue  white  gray  black  white,3 piece,solid  striped  stripe  plain  stripe dress  blue  cotton  unknown,solid  floral  paisley  plain  flower
https://www.junaidjamshed.com/orange-lawn-unstitched-1pc-jlawn-s-jsu-24-917.html,pkr 2 460.00,JLAWN-S-JSU-24-917,lawn,,spring  summer  collection  unstitched  piece,,short  plaid  long  red  striped,,orange  red  white  plaid,1 piece,floral  checkered  plaid  polka  dot  dot cotton  dress  blue  unknown  know,
https://www.junaidjamshed.com/blue-jacquard-kurti-jjlk-s-jss-23-414.html,pkr 5 840.00,JJLK-S-JSS-23-414,plain  jacquard,magzi  keyhole  striped  white  plain  dress  solid,printed  shirt  winter  collection  lady  kurti  casual,,straight  long  short  white  striped  black,dori  tassel,blue  white  gray  plaid,,straight  floral  solid  plain  paisley  flower  short  long  medium  yes  dress  cotton  blue  unknown  sure,
https://www.junaidjamshed.com/grey-jacquard-unstitched-2pc-jlawn-s-jds-24-1076-gauhar-04.html,pkr 5 120.00,JLAWN-S-JDS-24-1076 GAUHAR-04,jacquard  jacquard,,festive  collection  jacquard  shirt  dupatta  unstitched  piece,,long  short  plaid  striped  cold,,grey  brown  gray  tan  beige  pink  blue,2 piece,plaid  solid  plain  floral  striped dress  blue  cotton  unknown  polo,plain  paisley  floral  solid  plaid
https://www.junaidjamshed.com/peach-lawn-2pc-stitched-jlawn-s-jds-23-1001.html,pkr 7 900.00,JLAWN-S-JDS-23-1001,lawn,extended  collar  striped  solid  plain  white  blue,schiffli  lawn  shirt  printed  dupatta  spring  summer  collection  piece  stitched,striped  floral  solid  plain  stripe  short  long  full  dress  skirt  full,printed  straight  sleeve  long  short  striped  solid  white,tassel  front  slit,peach  blue  pink  white  gray  green  black,,embroidered  straight  front  solid  plain  floral  striped  stripe  long  short  medium  yes  cotton  dress  blue  unknown  white  mid  length,
https://www.junaidjamshed.com/cream-lawn-unstitched-3pc-jlawn-s-24-538.html,pkr 4 410.00,JLAWN-S-24-538,lawn  lawn,striped  plain  white  dress  unknown,monsoon  collection  lawn  shirt  dupatta  unstitched  piece,meter  floral  plain  solid  striped  paisley  dress  long  neither  short,floral  striped  plain  solid  stripe,,cream  white  yellow  orange  peach  tan  blue  brown  gold,3 piece,floral  paisley  plain  striped  solid dress  cotton  blue  unknown,floral  flower  paisley  orange  polka  dot
https://www.junaidjamshed.com/multicolor-kurti-jjlk-w-jws-23-3025.html,pkr 5 740.00,JJLK-W-JWS-23-3025,jacquard,striped  white  plaid  solid  plain,dyed  shirt  winter  collection  lady  kurti  casual,,straight  long  short  striped  plaid  white,buttoning,multicolor  white  striped  blue  red  plaid,,straight  striped  solid  stripe  plaid  plain  short  long  medium  tall  cotton  blue  dress  button,
https://www.junaidjamshed.com/pink-cambric-kurti-jjlk-s-jss-24-407.html,pkr 3 480.00,JJLK-S-JSS-24-407,cambric,boatneck  slit  plain  striped  floral  solid  white,festive  collection  lady  kurti,,printed  sleeve  long  short  plaid  cold,button  detail  neckline,pink  red  floral  white,,printed  front  floral  flower  paisley  solid  back  classic  kameez  long  short  medium  yes  cotton  dress  unknown  blue  length,
https://www.junaidjamshed.com/grey-jacquard-stitched-3pc-jlawn-s-24-116.html,pkr 10 560.00,JLAWN-S-24-116,jacquard,extended  collar  striped  white  plain  solid  gray,festive  collection  piece  stitched,straight  solid  plain  checkered  floral  striped  short  long  dress  black  plain,straight  long  short  black  white  striped,handwork  neckline,grey  gray  white  black  blue  brown  silver,,solid  floral  plain  striped  checkered  line  paneled  shirt  long  short  medium  yes  dress  cotton  unknown  blue  know  long,solid  floral  paisley  flower  plain
https://www.junaidjamshed.com/green-unstitched-3pc-jlawn-s-23-319-emb-0.html,pkr 8 100.00,JLAWN-S-23-319,jacquard  jacquard,striped  solid  plain  dress  white,winter  collection  jacquard  shirt  dupatta  unstitched  piece,solid  striped  plain  stripe  plaid  dress  long  short  slack,solid  striped  plain  plaid  stripe,,green  blue  teal  red  orange  white  black  gray  mint,3 piece,solid  striped  floral  stripe  plain dress  cotton  blue  button,solid  paisley  floral  stripe  striped
https://www.junaidjamshed.com/green-lawn-unstitched-2pc-jlawn-s-jst-23-1642.html,pkr 4 430.00,JLAWN-S-JST-23-1642,lawn,,festive  collection  lawn  shirt  trouser  unstitched  piece,meter  solid  striped  plain  plaid  stripe,long  short  open  striped  black,,green  pink  blue  teal  red  white  black  gray,2 piece,striped  solid  floral  stripe  plaid dress  cotton  unknown  blue,
